अ	[सं.] ना.
अक्षार	वि. [सं.]
अक्षार लवण	ना.
अक्षारलवण	नाम [सं.]
अक्षि	ना. [सं.]
अक्षिगत	विशेषण [सं.]
अक्षिगोचर	विशेषण [सं.]
अक्षिगोलक	नाम
अक्षितारा	नाम [सं.]
अक्षिपटल	नाम [सं.]
अक्षिविक्षेप	नाम [सं.]
अक्षिविभ्रम	नाम [सं.]
अक्षीण	वि. [सं.]
अक्षीय	विशेषण [अक्ष+ईय]
अक्षुण्ण	वि. [सं.]
अक्षुण्णता	ना.
अक्षेय	नाम [सं.]
अक्षोट	नाम [सं.]
अक्षोभ	ना. [सं.]
अक्षोभ्य	वि.
अक्षौहिणी	ना. [सं.]
अक्सर	क्रि.वि. [अ.]
अक्साइड	नाम [अं.]
अक्सिजन	ना. [अङ्.]
अक्सीकरण	नाम
अखच	ना.
अखचिलो	वि.
अखजी	विशेषण
अखट	नाम
अखटो	ना. [सं. आक्षत]
अखट्ट	ना.
अखट्टी	विशेषण
अखट्‌टिनु	अकर्मक क्रिया
अखडा	ना. [प्रा. अक्खआडा > सं. अक्षवाट ]
अखडिनु	अकर्मक क्रिया
अखड्याइ	नाम
अखण्ड	वि. [सं.]
अखण्डता	ना.
अखण्डनीय	वि.
अखण्डित	वि. [सं.]
अखण्डित प्रतीतपत्र	ना.
अखतिनु	अकर्मक क्रिया
अखती	नाम
अखतो	नाम
अखत्याउनु	सकर्मक क्रिया
अखनिइ	क्रियाविशेषण [गन्गा.]
अखनी	नाम
अखनी गर्नु	क्रिया
अखनु	अ.क्रि.
अखने	ना. [अखान+ए]
अखन्द्रे	विशेषण
अखन्द्रेआ	विशेषण
अखन्द्रो	नाम
अखप्पे	विशेषण [अ+खप्य]
अखप्य	विशेषण [अ+खप्य]
अखबार	ना. [अ.]
अखबारी	वि.
अखम	विशेषण
अखरा	नाम
अखरिया	नाम
अखरिया पावन	नाम
अखरिया पूजा	नाम
अखाइ	ना.
अखाइनु	क.क्रि.
अखाउनु	प्रे.क्रि.
अखाडा	ना.
अखाडी	नाम
अखाद्य	वि. [सं.]
अखानु	विशेषण [सं. अक्षान्त]
अखानु/अखानो	वि. [सं. अक्षान्त]
अखानो	विशेषण [सं. अक्षान्त]
अखाहट	ना.
अखिन्नापछिन्ना	क्रियाविशेषण
अखिल	वि. [सं.]
अखेटो	नाम [<आँख्लो+एटो]
अखैना	नाम
अख्तियार	ना. [अ.]
अख्तियार गर्नु	टुक्का
अख्तियार दुरुपयोग अनुसन्धान आयोग	ना.
अख्तियारनामा	ना.
अख्तियारप्राप्त	नाम
अख्तियारवाला	वि.
अख्तियारी	वि.
अख्तियारे	वि.
अख्याइ	ना.
अख्याइनु	क.क्रि.
अख्याउनु	प्रे.क्रि.
अख्यात	विशेषण [सं.]
अख्याति	नाम [सं.]
अख्याहट	ना.
अख्य्राइ	नाम
अख्य्राउनु	प्रेरणार्थक क्रिया
अख्य्राहट	नाम
अख्रक्क	वि.
अख्रनु	अकर्मक क्रिया
अख्राइ	नाम
अख्राउनु	प्रेरणार्थक क्रिया
अख्राहट	नाम
अख्रिनु	अ.क्रि.
अख्वारी	नाम [था.]
अग	नाम [सं.]
अगउ	नाम
अगकल्चो	वि.
अगच	वि. [सं. अगत्या/अगम्य]
अगचिलो	वि.
अगज	विशेषण [सं.]
अगडमबगडम	वि. [अ.मू. अगडम (द्वि.)]
अगड्डी	विशेषण
अगणनीय	वि. [सं.]
अगणित	वि. [सं.]
अगण्य	वि.
अगति	ना. [सं.]
अगतिक	विशेषण [सं.]
अगतिलो	वि. [अ+गतिलो]
अगतिशील	विशेषण [सं.]
अगत्या	क्रि.वि. [सं.]
अगद	नाम
अगदतन्त्र	नाम
अगन	नाम
अगनी	नाम
अगम	वि. [सं.]
अगम्य	वि. [सं.]
अगम्यता	नाम
अगम्या	वि.
अगम्यागमन	नाम [अगम्या+गमन]
अगर	ना. [सं. अगरु]
अगर बत्ती	नाम
अगरबत्ती	ना.
अगरु	ना.
अगर्व	विशेषण [सं.]
अगर्हित	विशेषण [अ+गर्हित]
